image,text
../../datasets/OldStyles/style6/A cat sitting on to of a bathroom sink next to a mirror.jpg,A cat sitting on to of a bathroom sink next to a mirror
../../datasets/OldStyles/style6/A tennis player throwing a ball up to hit it.jpg,A tennis player throwing a ball up to hit it
../../datasets/OldStyles/style6/a tagged train going slowly down the track.jpg,a tagged train going slowly down the track
../../datasets/OldStyles/style6/A woman gives a thumbs-up signal while taking a slice of pizza.jpg,A woman gives a thumbs-up signal while taking a slice of pizza
../../datasets/OldStyles/style6/a blurred photo of a bat hissing at something.jpg,a blurred photo of a bat hissing at something
../../datasets/OldStyles/style6/A red fire hydrant and a sign next to tree.jpg,A red fire hydrant and a sign next to tree
"../../datasets/OldStyles/style6/A glass bowl with bananas, oranges, and pears.jpg","A glass bowl with bananas, oranges, and pears"
../../datasets/OldStyles/style6/A person holds their hat and rides a horse.jpg,A person holds their hat and rides a horse
../../datasets/OldStyles/style6/Two men standing on an unknown flat surface.jpg,Two men standing on an unknown flat surface
../../datasets/OldStyles/style6/Dan is happy about his doughnut with pink icing.jpg,Dan is happy about his doughnut with pink icing
../../datasets/OldStyles/style6/Sliced cheese pizza on a while plate with eating utensils.jpg,Sliced cheese pizza on a while plate with eating utensils
../../datasets/OldStyles/style6/It is out in the open with numerous things in perspective.jpg,It is out in the open with numerous things in perspective
../../datasets/OldStyles/style6/The desktop computer is placed next to a laptop.jpg,The desktop computer is placed next to a laptop
"../../datasets/OldStyles/style6/Two men, a boy and a girl playing with a Wii system.jpg","Two men, a boy and a girl playing with a Wii system"
../../datasets/OldStyles/style6/Many cars are parked along an empty highway.jpg,Many cars are parked along an empty highway
../../datasets/OldStyles/style6/A red Honesty Shop bus near the shade area.jpg,A red Honesty Shop bus near the shade area
../../datasets/OldStyles/style6/Two surfers ride a small wave with houses on a hillside in the background.jpg,Two surfers ride a small wave with houses on a hillside in the background
"../../datasets/OldStyles/style6/A bathroom with a toilet, small red trash can and green slippers.jpg","A bathroom with a toilet, small red trash can and green slippers"
../../datasets/OldStyles/style6/A black and white dog sleeping under a blanket on top of a pillow.jpg,A black and white dog sleeping under a blanket on top of a pillow
../../datasets/OldStyles/style6/Two tan double decker busses on road next to bridge.jpg,Two tan double decker busses on road next to bridge
../../datasets/OldStyles/style6/Two elephants in dirt field next to a wire fence.jpg,Two elephants in dirt field next to a wire fence
../../datasets/OldStyles/style6/A man swinging a tennis racket at an outdoor court.jpg,A man swinging a tennis racket at an outdoor court
../../datasets/OldStyles/style6/An industrial kitchen with a window into a dinning room.jpg,An industrial kitchen with a window into a dinning room
"../../datasets/OldStyles/style6/A chocolate-covered, frosted pastry with a cup of coffee in the background.jpg","A chocolate-covered, frosted pastry with a cup of coffee in the background"
../../datasets/OldStyles/style6/Two round sinks are in a wooden counter top next to a large mirror.jpg,Two round sinks are in a wooden counter top next to a large mirror
../../datasets/OldStyles/style6/A group of people holding a remote and ipad next to a monitor screen.jpg,A group of people holding a remote and ipad next to a monitor screen
../../datasets/OldStyles/style6/Two children color and cut out their artwork.jpg,Two children color and cut out their artwork
../../datasets/OldStyles/style6/A barista finishes preparing a cup of coffee.jpg,A barista finishes preparing a cup of coffee
../../datasets/OldStyles/style6/A child wearing a tie and a Cat in the Hat hat.jpg,A child wearing a tie and a Cat in the Hat hat
../../datasets/OldStyles/style6/Some surfboards that are in the dirt together.jpg,Some surfboards that are in the dirt together
../../datasets/OldStyles/style6/A bike parked in front of a metal bench.jpg,A bike parked in front of a metal bench
../../datasets/OldStyles/style6/A messy room with clothes scattered here and there.jpg,A messy room with clothes scattered here and there
../../datasets/OldStyles/style6/Two people are walking on the beach with three dogs.jpg,Two people are walking on the beach with three dogs
../../datasets/OldStyles/style6/A busy intersection in a city on a sunny day.jpg,A busy intersection in a city on a sunny day
../../datasets/OldStyles/style6/The couch with two throw pillows has a lamp beside it.jpg,The couch with two throw pillows has a lamp beside it
"../../datasets/OldStyles/style6/Two people are standing outside next to a dog, one is holding his hand in his pocket.jpg","Two people are standing outside next to a dog, one is holding his hand in his pocket"
../../datasets/OldStyles/style6/Street signs are shown on the sidewalk next to the road.jpg,Street signs are shown on the sidewalk next to the road
../../datasets/OldStyles/style6/two people in a field throwing a frisbee at a a device.jpg,two people in a field throwing a frisbee at a a device
../../datasets/OldStyles/style6/some kids are standing in a field playing sports.jpg,some kids are standing in a field playing sports
../../datasets/OldStyles/style6/a person riding a snow board on a snowy hill.jpg,a person riding a snow board on a snowy hill
../../datasets/OldStyles/style6/A pocket watch near a book shelf with books.jpg,A pocket watch near a book shelf with books
../../datasets/OldStyles/style6/A couple of construction vehicles under a traffic light.jpg,A couple of construction vehicles under a traffic light
"../../datasets/OldStyles/style6/A person is sitting in the grass, holding a paper plate with a picture of a face up to his face.jpg","A person is sitting in the grass, holding a paper plate with a picture of a face up to his face"
../../datasets/OldStyles/style6/A man sitting on a boat next to another boat full of supplies.jpg,A man sitting on a boat next to another boat full of supplies
../../datasets/OldStyles/style6/A blurry stop sign stands in the dark night.jpg,A blurry stop sign stands in the dark night
"../../datasets/OldStyles/style6/An umpire, catcher and batter wait for a pitch.jpg","An umpire, catcher and batter wait for a pitch"
../../datasets/OldStyles/style6/A man skis down a mountain slope by a barrier fence.jpg,A man skis down a mountain slope by a barrier fence
../../datasets/OldStyles/style6/The cow sticks its tongue out as is peers into the passenger side of the car.jpg,The cow sticks its tongue out as is peers into the passenger side of the car
../../datasets/OldStyles/style6/Three vintage propeller planes parked on the tarmac.jpg,Three vintage propeller planes parked on the tarmac
../../datasets/OldStyles/style6/An old woman feeds pigeons from her balcony.jpg,An old woman feeds pigeons from her balcony
../../datasets/OldStyles/style6/A brown table containing plates of food with dessert.jpg,A brown table containing plates of food with dessert
../../datasets/OldStyles/style6/A young boy at bat during a baseball game.jpg,A young boy at bat during a baseball game
../../datasets/OldStyles/style6/Children flying kites in a park on a sunny day.jpg,Children flying kites in a park on a sunny day
../../datasets/OldStyles/style6/A sink and toilet in a bathroom being remodeled.jpg,A sink and toilet in a bathroom being remodeled
../../datasets/OldStyles/style6/A laptop computer is sitting on a cluttered desk.jpg,A laptop computer is sitting on a cluttered desk
../../datasets/OldStyles/style6/This simple bathroom has a toilet in the corner.jpg,This simple bathroom has a toilet in the corner
../../datasets/OldStyles/style6/The parking meter in the black and white photo is near a stone wall.jpg,The parking meter in the black and white photo is near a stone wall
../../datasets/OldStyles/style6/a number of older people sitting at a table with wine glasses.jpg,a number of older people sitting at a table with wine glasses
../../datasets/OldStyles/style6/The people are drinking and playing video games together.jpg,The people are drinking and playing video games together
../../datasets/OldStyles/style6/A man helps a young girl with skiing gear.jpg,A man helps a young girl with skiing gear
../../datasets/OldStyles/style6/A table with a large amount of two kinds of apples.jpg,A table with a large amount of two kinds of apples
../../datasets/OldStyles/style6/Someone is standing over a tub with a bag being held.jpg,Someone is standing over a tub with a bag being held
../../datasets/OldStyles/style6/A man is surfing on a board in an ocean.jpg,A man is surfing on a board in an ocean
../../datasets/OldStyles/style6/A bowl filled with cake and ice cream.jpg,A bowl filled with cake and ice cream
../../datasets/OldStyles/style6/A bed sitting in a bedroom next to a window and framed pictures.jpg,A bed sitting in a bedroom next to a window and framed pictures
../../datasets/OldStyles/style6/man on cross country skis taking a break.jpg,man on cross country skis taking a break
../../datasets/OldStyles/style6/a plant with some tiny baby veggies growing on it.jpg,a plant with some tiny baby veggies growing on it
../../datasets/OldStyles/style6/Three oranges growing on a tree in the daytime.jpg,Three oranges growing on a tree in the daytime
../../datasets/OldStyles/style6/a person laying on a snowy surface wearing skis.jpg,a person laying on a snowy surface wearing skis
../../datasets/OldStyles/style6/A person on a skateboard riding on ramps.jpg,A person on a skateboard riding on ramps
../../datasets/OldStyles/style6/Woman with red plastic rain gear holding an umbrella.jpg,Woman with red plastic rain gear holding an umbrella
../../datasets/OldStyles/style6/A man sitting on a bench next to a bike.jpg,A man sitting on a bench next to a bike
../../datasets/OldStyles/style6/Several people are riding surf boards on the beach.jpg,Several people are riding surf boards on the beach
../../datasets/OldStyles/style6/A partially eaten triple layer cake on  a plate.jpg,A partially eaten triple layer cake on  a plate
../../datasets/OldStyles/style6/A black and white cat sleeping in the sun from the window.jpg,A black and white cat sleeping in the sun from the window
../../datasets/OldStyles/style6/Table with a microwave and television monitor on it.jpg,Table with a microwave and television monitor on it
../../datasets/OldStyles/style6/Two young men on boogie boards in the ocean.jpg,Two young men on boogie boards in the ocean
../../datasets/OldStyles/style6/A man holding a giant slice of cheese pizza.jpg,A man holding a giant slice of cheese pizza
../../datasets/OldStyles/style6/Motorcyclers in race leaning into a turn on the track.jpg,Motorcyclers in race leaning into a turn on the track
../../datasets/OldStyles/style6/This is a bathroom with a sink and a mirror.jpg,This is a bathroom with a sink and a mirror
../../datasets/OldStyles/style6/Cows standing and grazing in a green grassy field.jpg,Cows standing and grazing in a green grassy field
"../../datasets/OldStyles/style6/Raw carrot, broccoli and tomato with dip in a bowl.jpg","Raw carrot, broccoli and tomato with dip in a bowl"
../../datasets/OldStyles/style6/A plunger that is sitting in a toilet.jpg,A plunger that is sitting in a toilet
../../datasets/OldStyles/style6/A baseball player has just pitched a ball.jpg,A baseball player has just pitched a ball
../../datasets/OldStyles/style6/Blurry photograph of a surfer in a wetsuit catching a wave.jpg,Blurry photograph of a surfer in a wetsuit catching a wave
../../datasets/OldStyles/style6/A lady and a baby at a pizza parlor during the day.jpg,A lady and a baby at a pizza parlor during the day
../../datasets/OldStyles/style6/A dog smelling a treat on the floor.jpg,A dog smelling a treat on the floor
../../datasets/OldStyles/style6/A fruit and vegetable stand where produce is available for purchase.jpg,A fruit and vegetable stand where produce is available for purchase
../../datasets/OldStyles/style6/A mp3 player is connected to a laptop.jpg,A mp3 player is connected to a laptop
../../datasets/OldStyles/style6/a baseball pitcher on a field is throwing a ball.jpg,a baseball pitcher on a field is throwing a ball
../../datasets/OldStyles/style6/An assortment of vegetables is lined up on a cutting board.jpg,An assortment of vegetables is lined up on a cutting board
../../datasets/OldStyles/style6/Some cars waiting at a red light on the road.jpg,Some cars waiting at a red light on the road
"../../datasets/OldStyles/style6/a plate with carrots, meat and some sauce with a glass of wine next to it.jpg","a plate with carrots, meat and some sauce with a glass of wine next to it"
../../datasets/OldStyles/style6/a lady that is talking on a phone.jpg,a lady that is talking on a phone
../../datasets/OldStyles/style6/a person holding a deformed carrot in a kitchen.jpg,a person holding a deformed carrot in a kitchen
../../datasets/OldStyles/style6/A row of urinals in a public bathroom that has white tiles.jpg,A row of urinals in a public bathroom that has white tiles
../../datasets/OldStyles/style6/Asphalt road under some traffic lights surrounded by signs.jpg,Asphalt road under some traffic lights surrounded by signs
"../../datasets/OldStyles/style6/Plate with sandwich cut in half, fries pulled up and two pickles.jpg","Plate with sandwich cut in half, fries pulled up and two pickles"
../../datasets/OldStyles/style6/a close up of a person wearing a coat and holding a a baseball bat.jpg,a close up of a person wearing a coat and holding a a baseball bat
../../datasets/OldStyles/style6/There are three little boys sitting on the couch.jpg,There are three little boys sitting on the couch
"../../datasets/OldStyles/style6/A plate of meat and three vegetables - potatoes, carrots and corn.jpg","A plate of meat and three vegetables - potatoes, carrots and corn"
../../datasets/OldStyles/style6/A man in a chefs uniform is preparing food in a kitchen.jpg,A man in a chefs uniform is preparing food in a kitchen
../../datasets/OldStyles/style6/A bathroom with an non-enclosed shower next to the toilet.jpg,A bathroom with an non-enclosed shower next to the toilet
../../datasets/OldStyles/style6/That man must be the coach on a football team.jpg,That man must be the coach on a football team
../../datasets/OldStyles/style6/The bride cuts a cake with a saber at a military wedding.jpg,The bride cuts a cake with a saber at a military wedding
"../../datasets/OldStyles/style6/Six different pictures of food including a fruit bar, apple, soup, sandwich, lollipop, and french fries.jpg","Six different pictures of food including a fruit bar, apple, soup, sandwich, lollipop, and french fries"
../../datasets/OldStyles/style6/A rainbow lorikeet parrot eats sun flower seeds.jpg,A rainbow lorikeet parrot eats sun flower seeds
../../datasets/OldStyles/style6/A kitchen scene including an oven and a refrigerator.jpg,A kitchen scene including an oven and a refrigerator
../../datasets/OldStyles/style6/A cut in half sandwich sitting on top of a cutting board.jpg,A cut in half sandwich sitting on top of a cutting board
"../../datasets/OldStyles/style6/a kitchen with a stove, and sink with a hardwood floor.jpg","a kitchen with a stove, and sink with a hardwood floor"
"../../datasets/OldStyles/style6/Display of food items, vegetables and bottle of liquid.jpg","Display of food items, vegetables and bottle of liquid"
../../datasets/OldStyles/style6/Several sausages cooking on a grill over hot coals.jpg,Several sausages cooking on a grill over hot coals
../../datasets/OldStyles/style6/A bunch of skiers with the same team uniforms seem to be waiting in line.jpg,A bunch of skiers with the same team uniforms seem to be waiting in line
../../datasets/OldStyles/style6/A man riding on the back of a red snow mobile.jpg,A man riding on the back of a red snow mobile
../../datasets/OldStyles/style6/A boardwalk area with crowds of people walking in both directions and kites flying overhead in the distance.jpg,A boardwalk area with crowds of people walking in both directions and kites flying overhead in the distance
../../datasets/OldStyles/style6/A baby lies on a bed looking wide-eyed at a computer.jpg,A baby lies on a bed looking wide-eyed at a computer
../../datasets/OldStyles/style6/Two guys on dirt bikes doing stunts in the air.jpg,Two guys on dirt bikes doing stunts in the air
../../datasets/OldStyles/style6/A boy is watching a pair of giraffe in an enclosed area.jpg,A boy is watching a pair of giraffe in an enclosed area
../../datasets/OldStyles/style6/a big sandwich next to some fries on a table.jpg,a big sandwich next to some fries on a table
../../datasets/OldStyles/style6/A tablet sitting in front of a typewriter with an lcd screen.jpg,A tablet sitting in front of a typewriter with an lcd screen
../../datasets/OldStyles/style6/A lavish toasted sandwich and potato chips at a restaurant.jpg,A lavish toasted sandwich and potato chips at a restaurant
../../datasets/OldStyles/style6/A man wearing a colorful umbrella hat holds an orange.jpg,A man wearing a colorful umbrella hat holds an orange
"../../datasets/OldStyles/style6/A white plate topped with red rice, broccoli and meat.jpg","A white plate topped with red rice, broccoli and meat"
../../datasets/OldStyles/style6/A train bed with a blue sheet and various items on it.jpg,A train bed with a blue sheet and various items on it
../../datasets/OldStyles/style6/A folding table sitting in a kitchen with a window behind the sink.jpg,A folding table sitting in a kitchen with a window behind the sink
../../datasets/OldStyles/style6/A white building is sitting atop a hill with a large clock.jpg,A white building is sitting atop a hill with a large clock
../../datasets/OldStyles/style6/A truck and aircraft next to some building in an airport.jpg,A truck and aircraft next to some building in an airport
../../datasets/OldStyles/style6/A dog and man with a hat sitting on a bench.jpg,A dog and man with a hat sitting on a bench
../../datasets/OldStyles/style6/Two kids playing a WII video game in the living room.jpg,Two kids playing a WII video game in the living room
../../datasets/OldStyles/style6/A colorful mural displayed in a small bathroom behind a toilet.jpg,A colorful mural displayed in a small bathroom behind a toilet
../../datasets/OldStyles/style6/a woman is playing with some dogs on some grass.jpg,a woman is playing with some dogs on some grass
../../datasets/OldStyles/style6/A man wearing a tie shakes hands with an older man while two other men look on.jpg,A man wearing a tie shakes hands with an older man while two other men look on
../../datasets/OldStyles/style6/A man is pulling a suit case with a little boy sitting on it.jpg,A man is pulling a suit case with a little boy sitting on it
../../datasets/OldStyles/style6/The interior of a kitchen with wood floors and large appliances.jpg,The interior of a kitchen with wood floors and large appliances
../../datasets/OldStyles/style6/A grey stripped cat on a table in a room with many books.jpg,A grey stripped cat on a table in a room with many books
../../datasets/OldStyles/style6/Five sticks with pastries and fruits arranged on them.jpg,Five sticks with pastries and fruits arranged on them
../../datasets/OldStyles/style6/Two people sitting beside each other at a table about to eat a pizza.jpg,Two people sitting beside each other at a table about to eat a pizza
../../datasets/OldStyles/style6/A tired poodle resting its head on a man's shoulder.jpg,A tired poodle resting its head on a man's shoulder
../../datasets/OldStyles/style6/Young man in a top hat with his arm around a young lady holding beers at a party.jpg,Young man in a top hat with his arm around a young lady holding beers at a party
../../datasets/OldStyles/style6/A large mirror is on the wall near a dresser with a television on it.jpg,A large mirror is on the wall near a dresser with a television on it
"../../datasets/OldStyles/style6/The living room has couches, a television, a table, and a blue ball.jpg","The living room has couches, a television, a table, and a blue ball"
../../datasets/OldStyles/style6/A man and a woman beside bicycles with orange train cars behind them.jpg,A man and a woman beside bicycles with orange train cars behind them
"../../datasets/OldStyles/style6/A person rides a bicycle down a busy, city road.jpg","A person rides a bicycle down a busy, city road"
../../datasets/OldStyles/style6/A girl is making a face while holding a wrench.jpg,A girl is making a face while holding a wrench
../../datasets/OldStyles/style6/Group of speed boats gathered at dock on water.jpg,Group of speed boats gathered at dock on water
../../datasets/OldStyles/style6/a single giraffe standing next some trees.jpg,a single giraffe standing next some trees
"../../datasets/OldStyles/style6/A kitchen with brown cabinets, tile backsplash, and grey counters.jpg","A kitchen with brown cabinets, tile backsplash, and grey counters"
../../datasets/OldStyles/style6/Two zebras standing in an enclosure surrounded by trees.jpg,Two zebras standing in an enclosure surrounded by trees
../../datasets/OldStyles/style6/a red and white stop sign and a white fence.jpg,a red and white stop sign and a white fence
../../datasets/OldStyles/style6/a red building that has a umbrella outside of it.jpg,a red building that has a umbrella outside of it
../../datasets/OldStyles/style6/Three people riding on the back of an elephant.jpg,Three people riding on the back of an elephant
../../datasets/OldStyles/style6/Mushrooms atop a slice of ham on a marinara-covered pastry.jpg,Mushrooms atop a slice of ham on a marinara-covered pastry
../../datasets/OldStyles/style6/a tennis player hitting a serve on the court.jpg,a tennis player hitting a serve on the court
../../datasets/OldStyles/style6/A man standing next to a parked motorcycle.jpg,A man standing next to a parked motorcycle
../../datasets/OldStyles/style6/A small potted plant sits on the floor.jpg,A small potted plant sits on the floor
../../datasets/OldStyles/style6/A single elephant alone in a natural habitat.jpg,A single elephant alone in a natural habitat
../../datasets/OldStyles/style6/There is a umbrella by the bench near the water.jpg,There is a umbrella by the bench near the water
../../datasets/OldStyles/style6/A kitchen with wooden cabinets has a table counter in the middle with miscellaneous ingredients.jpg,A kitchen with wooden cabinets has a table counter in the middle with miscellaneous ingredients
../../datasets/OldStyles/style6/A little child stands near a colorful kit in a grassy area near some buildings.jpg,A little child stands near a colorful kit in a grassy area near some buildings
"../../datasets/OldStyles/style6/A pointy looking, black jet of some sort sits on the runway.jpg","A pointy looking, black jet of some sort sits on the runway"
../../datasets/OldStyles/style6/a group of people pose for a picture at a wedding.jpg,a group of people pose for a picture at a wedding
../../datasets/OldStyles/style6/a building with a sign attached to it.jpg,a building with a sign attached to it
../../datasets/OldStyles/style6/A large sandwich is on a plate next to a plate with a wrap.jpg,A large sandwich is on a plate next to a plate with a wrap
../../datasets/OldStyles/style6/A train carrying a long line of freight cars with tractors.jpg,A train carrying a long line of freight cars with tractors
"../../datasets/OldStyles/style6/Street view of a home, electrical posts and a street sign.jpg","Street view of a home, electrical posts and a street sign"
../../datasets/OldStyles/style6/The man is in a suit and tie talking to the woman.jpg,The man is in a suit and tie talking to the woman
../../datasets/OldStyles/style6/a male skateboarder in a white shirt  and a dog.jpg,a male skateboarder in a white shirt  and a dog
../../datasets/OldStyles/style6/three giraffes in the grass touching each other.jpg,three giraffes in the grass touching each other
../../datasets/OldStyles/style6/A man squats on the ground holding his surf board across his legs.jpg,A man squats on the ground holding his surf board across his legs
"../../datasets/OldStyles/style6/A living area with couches, a sofa and a fireplace.jpg","A living area with couches, a sofa and a fireplace"
../../datasets/OldStyles/style6/three piece stone bench in the middle of a park.jpg,three piece stone bench in the middle of a park
../../datasets/OldStyles/style6/A shirtless man on the beach drinking a beer.jpg,A shirtless man on the beach drinking a beer
../../datasets/OldStyles/style6/A skier is weaving through the copious amount of snow.jpg,A skier is weaving through the copious amount of snow
../../datasets/OldStyles/style6/The colorful hat has two stuffed animals on it.jpg,The colorful hat has two stuffed animals on it
"../../datasets/OldStyles/style6/Laced shoes on stairs, with dog climbing one down.jpg","Laced shoes on stairs, with dog climbing one down"
../../datasets/OldStyles/style6/a train that is parked on a rail road track.jpg,a train that is parked on a rail road track
../../datasets/OldStyles/style6/A baby zebra with its mother in black and white.jpg,A baby zebra with its mother in black and white
../../datasets/OldStyles/style6/A woman smiles brightly as three birds are standing on her arm.jpg,A woman smiles brightly as three birds are standing on her arm
../../datasets/OldStyles/style6/Traffic intersection with street signs surrounded by cars and trucks.jpg,Traffic intersection with street signs surrounded by cars and trucks
../../datasets/OldStyles/style6/An open desk top with many windows up in a park.jpg,An open desk top with many windows up in a park
"../../datasets/OldStyles/style6/A group of teddy bears of various colors, some with clothes, some not.jpg","A group of teddy bears of various colors, some with clothes, some not"
../../datasets/OldStyles/style6/A bus and truck on a parking bay.jpg,A bus and truck on a parking bay
../../datasets/OldStyles/style6/trains on a track near a train station platform.jpg,trains on a track near a train station platform
../../datasets/OldStyles/style6/A tennis player hold a racket and a ball.jpg,A tennis player hold a racket and a ball
"../../datasets/OldStyles/style6/A counter with a bottle of whine, carrots with cheese and bread on a platter.jpg","A counter with a bottle of whine, carrots with cheese and bread on a platter"
../../datasets/OldStyles/style6/A shirtless man doing tricks on his skateboard.jpg,A shirtless man doing tricks on his skateboard
../../datasets/OldStyles/style6/A group of boats that are resting on the beach.jpg,A group of boats that are resting on the beach
../../datasets/OldStyles/style6/A trio of giraffes lounging in a fenced off grass area.jpg,A trio of giraffes lounging in a fenced off grass area
../../datasets/OldStyles/style6/A view from a distance looking at a public clock.jpg,A view from a distance looking at a public clock
"../../datasets/OldStyles/style6/A batter, catcher and umpire are awaiting the next pitch.jpg","A batter, catcher and umpire are awaiting the next pitch"
../../datasets/OldStyles/style6/A street sign lite up next to parked cars.jpg,A street sign lite up next to parked cars
../../datasets/OldStyles/style6/Some tiny cookies are in a large glass vase.jpg,Some tiny cookies are in a large glass vase
../../datasets/OldStyles/style6/a kid seated at the edge of the bench.jpg,a kid seated at the edge of the bench
"../../datasets/OldStyles/style6/A plate of food with a sandwich, bowl, and spoon.jpg","A plate of food with a sandwich, bowl, and spoon"
../../datasets/OldStyles/style6/A man being pulled by a horse in the snow.jpg,A man being pulled by a horse in the snow
../../datasets/OldStyles/style6/a white and black picture with a fire hydrant on the end of the street.jpg,a white and black picture with a fire hydrant on the end of the street
../../datasets/OldStyles/style6/Taxicabs and other vehicles move through a city's intersections.jpg,Taxicabs and other vehicles move through a city's intersections
../../datasets/OldStyles/style6/A group of zebra's leaned over drinking water.jpg,A group of zebra's leaned over drinking water
../../datasets/OldStyles/style6/A woman dressed up sitting in the woods.jpg,A woman dressed up sitting in the woods
../../datasets/OldStyles/style6/Small child being held up on skis by a woman.jpg,Small child being held up on skis by a woman
../../datasets/OldStyles/style6/Three people playing a game with black controllers.jpg,Three people playing a game with black controllers
../../datasets/OldStyles/style6/A city bus turns into a side street in the rain.jpg,A city bus turns into a side street in the rain
../../datasets/OldStyles/style6/Boys are laying in their bunk beds with a ladder.jpg,Boys are laying in their bunk beds with a ladder
../../datasets/OldStyles/style6/Two men sitting on a couch working on their laptops.jpg,Two men sitting on a couch working on their laptops
../../datasets/OldStyles/style6/A boy is riding a small beginner snowboard.jpg,A boy is riding a small beginner snowboard
../../datasets/OldStyles/style6/A partially renovated kitchen in a family home.jpg,A partially renovated kitchen in a family home
../../datasets/OldStyles/style6/Baseball player standing in the batters box ready to hit.jpg,Baseball player standing in the batters box ready to hit
../../datasets/OldStyles/style6/A street corner has some parked cars and a fire hydrant.jpg,A street corner has some parked cars and a fire hydrant
../../datasets/OldStyles/style6/A kid interacts with an adult tennis player.jpg,A kid interacts with an adult tennis player
../../datasets/OldStyles/style6/A young man is sitting near a half empty tray of pizza.jpg,A young man is sitting near a half empty tray of pizza
../../datasets/OldStyles/style6/There is a plane being loaded on the tarmac.jpg,There is a plane being loaded on the tarmac
../../datasets/OldStyles/style6/A plate filled with dessert sitting next to a plate filled with food.jpg,A plate filled with dessert sitting next to a plate filled with food
../../datasets/OldStyles/style6/A decorative ornate urn depicting people and swine.jpg,A decorative ornate urn depicting people and swine
../../datasets/OldStyles/style6/A large knife and a pizza on a table.jpg,A large knife and a pizza on a table
../../datasets/OldStyles/style6/A man riding a skate board in front of a store front.jpg,A man riding a skate board in front of a store front
../../datasets/OldStyles/style6/A snowboarder in the middle of a jump.jpg,A snowboarder in the middle of a jump
../../datasets/OldStyles/style6/A white cow walks towards the camera on a small path through a green forest.jpg,A white cow walks towards the camera on a small path through a green forest
../../datasets/OldStyles/style6/A horse is standing behind behind a fence.jpg,A horse is standing behind behind a fence
../../datasets/OldStyles/style6/A small bird resting on a rock close to water.jpg,A small bird resting on a rock close to water
../../datasets/OldStyles/style6/A yellow and orange passenger bus at night.jpg,A yellow and orange passenger bus at night
../../datasets/OldStyles/style6/A bus driving down the street near a traffic light.jpg,A bus driving down the street near a traffic light
../../datasets/OldStyles/style6/Taxicabs and other vehicles move through city's intersections.jpg,Taxicabs and other vehicles move through city's intersections
../../datasets/OldStyles/style6/The boy is standing very close to the beer inside of his habitat.jpg,The boy is standing very close to the beer inside of his habitat
../../datasets/OldStyles/style6/Two donuts are on a tray with water and honey.jpg,Two donuts are on a tray with water and honey
../../datasets/OldStyles/style6/A bicycle covered in christmas decorations parked next to a van.jpg,A bicycle covered in christmas decorations parked next to a van
../../datasets/OldStyles/style6/woman with racquet standing in middle of tennis court.jpg,woman with racquet standing in middle of tennis court
../../datasets/OldStyles/style6/Someone laying on a wood floor with a dog.jpg,Someone laying on a wood floor with a dog
../../datasets/OldStyles/style6/A man flying through the air while riding a snowboard.jpg,A man flying through the air while riding a snowboard
../../datasets/OldStyles/style6/An orange dog and a white dog laying on a bed.jpg,An orange dog and a white dog laying on a bed
../../datasets/OldStyles/style6/The white airplane is sitting at the terminal.jpg,The white airplane is sitting at the terminal
../../datasets/OldStyles/style6/A little girl posing for a photo with a dog.jpg,A little girl posing for a photo with a dog
../../datasets/OldStyles/style6/A guy skateboarding down the street with a dog.jpg,A guy skateboarding down the street with a dog
../../datasets/OldStyles/style6/A person cutting up food that is on a plate.jpg,A person cutting up food that is on a plate
../../datasets/OldStyles/style6/A man riding a kiteboard over a body of water.jpg,A man riding a kiteboard over a body of water
../../datasets/OldStyles/style6/A man takes a swings at a tennis ball on a court.jpg,A man takes a swings at a tennis ball on a court
../../datasets/OldStyles/style6/A school bus parked with it's stop sign closed.jpg,A school bus parked with it's stop sign closed
../../datasets/OldStyles/style6/a figure of a horse is on a red chair.jpg,a figure of a horse is on a red chair
../../datasets/OldStyles/style6/A horse is pulling a small white carriage.jpg,A horse is pulling a small white carriage
../../datasets/OldStyles/style6/Various toys and items on carpet that includes wallets and a camera.jpg,Various toys and items on carpet that includes wallets and a camera
../../datasets/OldStyles/style6/The vanity has two sinks and two mirrors.jpg,The vanity has two sinks and two mirrors
../../datasets/OldStyles/style6/A toilet with toilet paper rolls on the ground.jpg,A toilet with toilet paper rolls on the ground
../../datasets/OldStyles/style6/A man throwing a frisbee in the rocks by a river.jpg,A man throwing a frisbee in the rocks by a river
../../datasets/OldStyles/style6/A red fire hydrant that is half covered in snow.jpg,A red fire hydrant that is half covered in snow
../../datasets/OldStyles/style6/Grandfather clock on fireplace mantel near chair and narrow window.jpg,Grandfather clock on fireplace mantel near chair and narrow window
../../datasets/OldStyles/style6/A red apple with a knife stuck into it.jpg,A red apple with a knife stuck into it
../../datasets/OldStyles/style6/A close up of an orange sitting on something.jpg,A close up of an orange sitting on something
../../datasets/OldStyles/style6/Hanging bunches of ripe bananas and boxes of various fruit.jpg,Hanging bunches of ripe bananas and boxes of various fruit
../../datasets/OldStyles/style6/A rider in a  t-shirt riding a surfboard.jpg,A rider in a  t-shirt riding a surfboard
../../datasets/OldStyles/style6/A street scene in a dense urban area.jpg,A street scene in a dense urban area
../../datasets/OldStyles/style6/a kid sitting next to a fire hydrant for a picture.jpg,a kid sitting next to a fire hydrant for a picture
../../datasets/OldStyles/style6/A SKIER SKIING ON THE MOUNTAIN WITH TREES BEHIND HIM.jpg,A SKIER SKIING ON THE MOUNTAIN WITH TREES BEHIND HIM
